@id,accessibility,amenity,boundary_type:Ward_boundary,building:levels,building:material,building:roof,contact:address,contact:phone,education:curriculum,education:exam_center,education:extra_drama,education:extra_music,education:extra_scouts,education:extra_sports,education:fees,education:gender_type,education:government_registered,education:management_committee,education:program_counselling,education:program_feeding,education:program_sanitary_towel,education:pta,education:students,education:teachers,education:teachers_female,education:teachers_male,education:teachers_trained,education:tsc_employed,education:type,electricity:operational_status,image:classroom,image:compound,image:other,image:outside,is_in:constituency,is_in:estate,is_in:ward,name,official_name,operational_status:electricity,operator:name,operator:type,place:village,polling_station:accessibility,polling_station:election_year,polling_station:nearest_health_centre,polling_station:nearest_police_station,polling_station:registered_voters,polling_station:source,polling_station:type_description,toilet:present,lon,lat,contact:email,education:fees_level4,education:fees_level5,education:program_orphans,education:student_age_range,education:students_female,education:students_male,opening_hours,education:boarding,education:fees_level1,education:fees_level2,education:fees_level3,education:program_counseling,education:program_other,education:program_special_needs,education:program_sports,education:staff_female,education:staff_male,media:video_device_number,media:video_number,operational_status,education:fees_optional,education:school_head,image,is_in:village,operator:description,polling_station:type,education:description,education:fees_sponsored,source,education:exam_affiliate,education:teachers_untrained,education:fees_level6,media:camera_device_number,media:camera_number,education:program_scouting,education:program_description,education:extra_other,education:student_female,education:student_male,education:program_computers,description,station:type_description,education:teachers_tsc,designation,security:gbv_support,toilet:arranged_name,education:program_specialneeds,boundary_type:Constituency_boundary,polling_station:election_year_2,registered_voters,building,fee,operational_status_2,education:fee,toilets:for:female,toilets:for:male,toilets:for:teacher,toilets:handwashing,education:bom_employed,education:male,toilets,education:committees,health_facility:referals,medical_service:psychosocial_support_counselling,medical_staff:counsellor,medical_staff:description,note,contact:website,addr:postcode,education:fee_level,website,operator,education:accessibility,education:management_commitee,education:program_WASH,education:program_handwashing,education:program_rain,education:student_disable,safe_place:acessible,safe_place:compound,safe_place:protected/secure,safe_place:school,security:description,social_facility,education:nemis_code,image:sign_post,toilet:female,toilet:handwashing,toilet:male,toilet:teachers,water:source,Music,building:classrooms,education:fees_admission,education:fees_exam,education:fees_lunch,education:fees_per_year,education:fees_trip,education:government_grants,education:operate_as,toilets:female,toilets:male,toilets:teachers
node/478551902,big_vehicles,school,yes,1,concrete,ironsheets,"P O Box 56979 - 00200, Nairobi",0722699646,8_4_4,yes,yes,yes,yes,yes,0,mixed,moe,yes,yes,fees,yes,yes,1000,26,20,6,26,24,primary,often,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Shadrack%20Kimalel%20Primary%20School/classroom.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Shadrack%20Kimalel%20Primary%20School/compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Shadrack%20Kimalel%20Primary%20School/other.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Shadrack%20Kimalel%20Primary%20School/outside.JPG,Kibra,Golfcourse,Woodley/Golfcourse/Kenyatta,Shadrack Kimalel Primary School,SHADRACK KIMALEL PRI SCH,often,Government,government,Golf Course,"motor_bikes,small_cars,big_cars.tractors",2013,Mbagathi hospital,Kenyatta police post,"3,815",map_kibera_trust,public_school,yes,36.7988296,-1.3104681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612004414,foot,school,,1,ironsheets,ironsheets,P.O Box 1051-00200,0726434010,8_4_4,,yes,yes,,yes,3150,mixed,mgcsd,yes,,yes,,,45,3,1,2,,,primary,never,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/GUUM%20CBO%20Education%20Center/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/GUUM%20CBO%20Education%20Center/compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/GUUM%20CBO%20Education%20Center/building.JPG,,,,Guum CBO Primary School,,,Guum CBO,cbo,Gatwekera,,,,,,,,yes,36.7821671,-1.3158823,adhiambonyagol@gmail.com,1050 per term,1050 per term,yes,4-13yrs,18,27,07:00-16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612007086,foot,school,,1,ironsheets,ironsheets,"P O Box 19443 -00100, Nairobi",0722557735,8_4_4,yes,yes,yes,yes,yes,,mixed,mgcsd,yes,yes,fees,yes,yes,243,12,10,2,10,,primary,often,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Drug%20Rescue%20Center/building.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Drug%20Rescue%20Center/gate.JPG,,,,Bridge 0f Hope Educational Centre,DRUG FIGHTERS PRI SCH,sometimes,Drug Fighters CBO,private,Mashimoni,,,,,,,,yes,36.793287,-1.313207,drugfighters@yahoo.com,2400,2700,yes,3-14yrs,120,123,Mo-Fr 07:00-16:00,yes,2550,2550,2550,yes,Boarding,yes,yes,2,3,8,15,operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612007152,big_vehicles,school,yes,2,cement_block,ironsheets,"P O Box 21461-00505, Nairobi",0711744212,8_4_4,yes,yes,yes,yes,yes,0,mixed,moe,yes,yes,sponsored,yes,yes,4212,60,34,26,43,43,primary,often,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Olympic%20Primary/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Olympic%20Primary/compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Olympic%20Primary/IMG_0192gate.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Olympic%20Primary/sign%20post.JPG,Kibra,Olympic,sarangombe,Olympic Primary School,OLYMPIC PRI SCH,,Government,government,Olympic,,2013,"MSF belgium HIV Clinic,Huduma medical clinic",olympic chief's camp,"6,152",,,yes,36.7805594,-1.3132322,olympicprimary@yahoo.com,,,,,2194,2018,,,,,,,,,,,,,,,Feeding 650,Mr.Caleb Ochieng,https://farm3.staticflickr.com/2742/4089244916_b11b3c7a1f_o.jpg,Olympic,School is run by government,public_school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612007263,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,,Kibera Academy,HURUMA KIBERA PRI. SCH,,,,,,,,,,,,,36.7882173,-1.311055,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Funded. Has Nursery,Secondary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612007264,foot,school,,,mud,ironsheets,,0721641839,8_4_4,,,,,,2700,mixed,mgcsd,yes,,,,,48,2,2,0,0,,pre_primary,often,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Kambi%20Muru%20PAG%20Assembly%20School/Classroom.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Kambi%20Muru%20PAG%20Assembly%20School/Compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Kambi%20Muru%20PAG%20Assembly%20School/Sign.JPG,,,,Kambi Muru Tenderlets CBO School,,,PAG Church,religious,Kambi Muru,,,,,,,,yes,36.7942567,-1.3146991,makamunancy@gmail.com,,,,,28,20,,,2700,2700,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612007279,big_vehicles,school,yes,,ironsheets,ironsheets,P.O Box 76153-00508,0716583975,8_4_4,,yes,yes,yes,yes,,mixed,mgcsd,yes,yes,yes,yes,,542,21,10,11,,,primary,always,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Mashimoni%20Squaters%20Primary%20School/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Mashimoni%20Squaters%20Primary%20School/compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Mashimoni%20Squaters%20Primary%20School/sign%20post.JPG,Kibra,,Lindi,Mashimoni Squatters Primary School,MASHIMONI SQUATTERS PRI. SCH,,Balcraig Foundation,ngo,Kambi Muru,small_cars,2013,Msf belgium (kwa wanga),"Kilimani police station,Administration police Do",5979,map_kibera_trust,,yes,36.790862,-1.3123932,fmuzaya@yahoo.com,,,yes,5-14yrs,283,259,08:00-17:00,,,,,,,,,,,3,16,operational,,,,Mashimon,The school is runned by AIC church in partnership with the foundation,,,yes,map_kibera_trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612007401,foot,school,,1,ironsheets,ironsheets,,,8_4_4,,,,,,4500,mixed,mgcsd,yes,,fees,,,121,4,4,0,1,,pre_primary,often,,,,,,,,Lindi Ushirika Nursery School,,,Lindi Ushirika,ngo,Lindi,,,,,,,,yes,36.7902852,-1.3150596,,,,,,67,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612007406,foot,school,,0,mud,ironsheets,"P O Box 8109 - 00200, Nairobi",0711 909137,8_4_4,,,yes,yes,,2700,mixed,mgcsd,yes,,fees,,no,193,5,3,2,3,,pre_primary,often,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Saviour%20Kings%20Academy/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Saviour%20Kings%20Academy/compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Saviour%20Kings%20Academy/Douglas.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Saviour%20Kings%20Academy/sign%20post.JPG,,,,Saviour Kings Academy,,,Garden Of Eden,ngo,Lindi,,,,,,,,yes,36.7940253,-1.3155859,,,,,,102,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612007412,foot,school,,ground,ironsheets,ironsheets,"P O Box 19776 -00100, Nairobi",0719875501,8_4_4,,yes,,,yes,12500,mixed,,,yes,yes,,yes,62,7,1,6,1,,secondary,often,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Rudolf%20High%20School/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Rudolf%20High%20School/compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Rudolf%20High%20School/gate.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Rudolf%20High%20School/sign%20post.JPG,,,,Rudolf High School (Closed),,,Paul Ndolo,private,Lindi,,,,,,,,yes,36.7950352,-1.3146274,,,,,,31,31,,,,,,,,,,,,,,,lunch_1500,,,,,,,,,Sloam Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
